ng,f,power
7.620806007295266582e-02,3.953124935387275496e-01,2.776090584120918248e-01
-4.373261962808734360e-01,-3.730542202209035652e-01,5.102480651619417662e-01
2.640470431292873954e-02,3.589190426602146267e-01,2.861763542937318383e-01
-4.392329548280260454e-01,-3.720430214681655912e-01,4.279720649696220902e-01
-1.761155735025885516e-01,1.486474973316011527e-01,3.822889276436993722e-01
-4.657063038254456444e-01,-4.325964301810540924e-01,2.069391796758275615e-01
-2.377895383504778914e-01,4.896659216403539960e-02,5.731569643778395839e-01
2.086074047647085150e-01,1.508289416631693192e-01,3.512160742388695245e-01
4.370052403652616713e-01,-3.325346241745393838e-01,2.772314563542280785e-01
-1.983361735504874934e-01,1.198892292957120242e-01,4.467640049811848479e-01
1.905407621075405622e-02,4.086461374409735559e-01,4.298292550525747435e-01
-3.786202126921331956e-01,-2.924713786878032629e-01,5.032535415467018769e-01
-3.579990035099602785e-01,-2.198971228735460970e-01,6.724582486598643660e-01
1.885785418944554426e-01,1.375061935934650814e-01,1.905259498306360877e-01
-2.830202615271926181e-01,-8.958032222637865583e-02,6.535487328555175113e-01
-4.094069104702423578e-01,-3.462184384101003598e-01,7.937693234573260648e-02
-3.621514642434225939e-01,-2.577812891514206783e-01,1.166903243063493745e-01
-1.547104369623552023e-01,1.898131168384246115e-01,6.301037496135343252e-01
-4.818085734294719202e-02,3.846280165576009824e-01,1.224144497824665168e-01
1.830412637351630512e-02,3.862870879824207848e-01,5.549565861872446382e-01
2.838113958451230490e-01,-8.167124127277253232e-02,3.446386849615967196e-01
4.018869450268360843e-01,-3.330479901419247102e-01,2.769226334022656943e-01
-2.448081272809140563e-01,1.200119551752464736e-02,2.596031682261233930e-01
4.850053501510009912e-01,-3.902142825309620755e-01,6.877759112790418072e-01
9.331339978603514496e-02,3.320399238254364560e-01,5.785499950132865221e-01
4.363704675855422099e-01,-3.622339919161327026e-01,6.085131607916962476e-02
-2.629764064320858630e-01,-9.948358638499597839e-03,5.470230112794776112e-01
4.454251060528288120e-01,-3.284512689325667645e-01,6.396740301131974976e-03
4.099801809289423948e-01,-3.452202633510332852e-01,1.395778973085029795e-01
2.407662510598753691e-01,5.409152419703165682e-02,1.930153692233091411e-01
-3.167973243898049018e-01,-1.583189377086829663e-01,2.201785628438564235e-01
3.662755310069604198e-01,-2.348905505082463929e-01,6.599845012567649993e-01
3.704199536014629590e-01,-2.345781108103604518e-01,1.278437993475108059e-01
-1.165693416756582446e-01,3.252917180070721281e-01,5.273128966846838406e-01
3.489087896771478903e-01,-2.314478672698155326e-01,3.324060035562154819e-02
-1.099741506297324811e-02,3.972007066197578706e-01,9.273461837954126430e-02
2.601846987333513717e-01,-6.819311706036054743e-02,3.510714673859927082e-01
-4.103310901263678145e-01,-3.435695498068671583e-01,4.652123092217554934e-01
-1.902927354486503297e-01,1.343767073816443669e-01,5.525391830274096749e-01
4.372276085711856997e-02,3.540813236336087244e-01,5.995554970230269065e-01
2.816029439179990046e-01,-1.220347046071397767e-01,3.330972113543796964e-01
2.113961531598604893e-01,1.326833861398057368e-01,5.325222720499988016e-01
3.849727570219740880e-02,3.537778396898597633e-01,1.821075369138367150e-01
-3.418586329475337138e-03,4.270483389001827890e-01,4.529235838049840979e-01
-5.803452583169033119e-02,3.616470487950333990e-01,5.521048065192026844e-01
1.803640590666460986e-01,1.239344746965449218e-01,4.261645011173608721e-01
2.765438717849633132e-01,-2.098956791482599338e-02,4.340735326713420772e-01
-2.890066536998840974e-01,-8.360088796759997110e-02,4.328570152397334114e-01
4.491447382799668153e-01,-3.365015382761127327e-01,3.253979555331248941e-01
-2.947465659622635625e-01,-1.158078376445052932e-01,6.315208271841842302e-01
-2.644227898299789103e-02,3.667375127213922115e-01,1.809043277367524127e-01
4.096258624638637880e-02,4.311561399697927399e-01,6.390469463388872562e-01
-9.932914527855996045e-02,2.986921673903743524e-01,2.675633485665262490e-01
4.789057516323896868e-01,-3.642247379388520723e-01,2.598974433949762242e-01
-1.378844793370894717e-01,2.752146626036162669e-01,1.994084890242907304e-02
-4.450576815245356199e-01,-4.233106007908379320e-01,1.508518932444911087e-01
7.366195196556091229e-02,3.212559872623013679e-01,5.266533446598543611e-01
-4.546687944903254897e-01,-3.888763951047877199e-01,3.217076016510071051e-02
-3.828191526086710539e-03,4.186836502696449358e-01,2.568102461498469324e-01
-3.644819588901782037e-01,-2.231156994382434977e-01,6.697964321917146968e-01
2.721674480742930502e-01,-5.454686512013696281e-02,6.716061501561371161e-01
-2.060220977032887202e-01,9.216455644934215541e-02,3.366765335034055950e-01
3.700502918482476700e-01,-2.441471108064641737e-01,8.198440250140669183e-02
7.673908334363133132e-02,3.106633322933294306e-01,1.690310471438812856e-01
2.026136490868638562e-01,7.950715086412052379e-02,4.604088484910154877e-01
-4.454809785275545275e-01,-4.067316194687603526e-01,2.786155655109768814e-01
1.357140629170353607e-01,2.640906532335380308e-01,3.938478215967457507e-01
2.853104347176395050e-01,-6.344283241857377742e-02,1.377733369999458168e-01
7.444753807869608497e-02,3.104279185360398485e-01,2.883095628620944151e-01
2.903156228907557423e-01,-6.822539277484170051e-02,2.383992047491109434e-01
-1.017455511464370188e-01,3.290480124326137235e-01,9.437274507249143740e-02
-3.348234730436182582e-01,-2.059204956688044375e-01,3.276559690609107123e-01
2.244984827633966784e-02,4.292580608273421916e-01,3.530489023192673326e-01
8.351489134224310273e-02,3.301116034162588364e-01,2.355512388096806797e-01
-6.058107176244065251e-02,4.109723382142198567e-01,6.108003059802606938e-01
2.888566334183496620e-01,-9.874579058865722014e-02,1.290696012674532323e-01
3.474034568782158328e-01,-1.872609760669308732e-01,8.104302282054762219e-02
2.540316760905119153e-01,-4.105266946511178239e-02,6.395775403014520855e-01
1.915462196228335801e-01,1.104980202019806013e-01,4.457827366548572923e-01
1.274585469973118501e-01,2.528009310838496004e-01,3.153525229386637263e-01
-2.252838128319374356e-01,7.985564086836426101e-02,7.126296566567730251e-02
-9.644330322731708982e-02,2.961249625702896959e-01,5.471346709721587320e-01
7.445482790032864617e-02,4.005945267466688442e-01,4.451416571112994935e-01
-2.195093474333424943e-01,9.430552688765897473e-02,6.355864393757407749e-01
